ark,这么跟你说吧，ark的气血就像杨振宁的性欲，越老越涨。
atoy,北侠第一bt小鱼儿的名字你也敢随便叫？他一个屁都能崩死你。
baobei,小宝贝是北侠为数不多的女玩家之一，美貌、气质和智慧均排在本mud女玩家第二位。第一是虫二。
batchelor,kera？kera是我哥们儿，就算他跟我抢倩儿，我都不会扁他。因为我扁不过他。
bbt,棒棒糖就是一种糖，呈棒状，请大家自己想象。
becool,我只见过becool一面，当时我就震惊了。
blade,"基本刀法(blade)除了向师傅学习,还可以读飞沙走石十三式(0-101)和天龙八部(101-180)."
bt,问什么问，bt就是你！
buddhism,禅宗心法(buddhism)是少林秃驴的重要技能，除了在达摩院参禅可以涨以外，下列书籍也可以拿来读读：般若经、维摩经、法华经、华严经，可读0至51级；无量寿经、大般涅磐经、阿含经、金刚经、波罗蜜多心经，可读0至101级。
bwc,"bwc是比武场的缩写，在比武场死亡是假死，无任何损失。路径为：ct,n,se"
cabbage,cabbage以前是卖白菜的，一毛钱一筐的卖。后来穷疯了，开始卖进口香皂，结果搞得比以前更穷，看来只有卖身了。
changegift,扬州ct，u，u，只能在注册后一小时之内改属性。
cjbd,cjbd是个很有追求的人，不bt的事情他从来不干。
claw,"基本爪法(claw)除了向师傅学习,还可以读石板(0-30),爪法入门(0-51)和鹰爪功秘诀(0-151)."
coolname,不用问，浪子的特点就是：比较浪。
ct,ct就是扬州中央广场，基本所有路径alias都是从这里出发。
cuff,"基本拳法(cuff)除了向师傅学习外,还可以读石板(0-30)和拳法入门(0-51)."
dagger,"基本匕法(dagger)除了向师傅学习外,还可以读古刺客秘籍到101级.拿法:神龙教弟子门忠500后问陆高轩要."
daoxue-xinfa,道学心法(daoxue-xinfa)可以通过读以下书籍获得：道德经「第一章」(0-31)、道德经「第十三章」(0-31)、道德经「第十六章」(0-31)、道德经「第十八章」(0-31)和道德经(0-101)。
dodge,"基本轻功(dodge)除了向师傅学习外,还可以中央广场爬树(0-50),慕容踩桩(不限),大理承光壁climb wall(0-100),少林钟鼓楼跳楼(不限),读旧竹片(0-30)或带着旧竹片走少林达摩洞竹林(0-101)."
dugu,独孤是个非常疯骚的男淫。
dz,特殊内功大于300，先天福缘和根骨都不太低的情况下不停dz，就能打通任督二脉，二脉打通后所有先天属性随机增加1或2点。
fadai,bt + 闷骚*2 + 铁公鸡平方 = tianying
fanwen,基础梵文(fanwen)可以靠读天竺梵语从1到101级。到明教山下小木屋，look picture，ask lao zhe about picture，给钱就xue fanwen for lao zhe 1，之后buy shu可以读。
finger,"基本指法(finger)除了向师傅学习外,还可以读石板(0-30)或六脉神剑剑谱(0-151)."
focus,focus是米国福特公司的一款破车，同时也是pkuxkx里一个不怎么帅的玩家。
gem,宝石(gem)是好东西(help mimi-equip)，而且是北侠的实际流通货币，虽然新人刚开始没法保存宝石，但是可以考虑从tianying、pigyy、qianr或zzhx等老bt手里换取各种资源和服务，请充分利用。
gold,"If you need gold, Tianying is the first one you wanna ask. Believe me, he has nothing but gold. :D"
guodalu,老郭可是大才子，饱读诗书，一身流氓气质独步北侠，是我个人的偶像。
hanbing,经我亲自鉴定，寒冰是个小帅哥，大家看着办吧。
hapi, kera曾经告诉我：hapi是美若天仙艳冠群芳清丽脱俗一枝梨花压海棠的神仙姐姐。我觉得kera可能喝高了。
hen,母鸡已经精尽人亡，请大家不要再打扰她了。
huangdaopo,kera？kera是我哥们儿，就算他跟我抢倩儿，我都不会扁他。因为我扁不过他。
huanxi-chan,欢喜禅(huanxi-chan)是大轮寺的淫荡功夫，除了向师傅学，还可以通过读下列书籍获得：甘珠儿经(0-52)、丹珠儿经(0-82)和大藏经(0-102)。
icer,icer是北侠老大，北侠能有今天，全靠他老人家撑着。
icer的硬盘,icer的硬盘是北侠四宝之一，为啥？全是片儿呗。
irobot,irobot是becool提供的北侠自动答疑机器人。伟大的虫二！现在由grobot接任。
grobot,我和irobot的区别是我运行在服务器上，可以节约虫二家的电费！
jason,jason是顶尖wiz，他编程那速度，比icer下片儿还快！
kera,kera？kera是我哥们儿，就算他跟我抢倩儿，我都不会扁他。因为我扁不过他。
leadership,为官之道(leadership)是朝廷的技能，是升官、召唤大内高手等的必备之术。依次读大清律例、明书辑略、厚黑学和资治通鉴四本书可以涨到200级。
lingwu,领悟是不耗潜能涨基本功夫的方法之一（另一个是侠客岛），在少林达摩院二楼，需要过十八罗汉阵。
literate,读书写字(literate)除了向自己门派师傅学习，还可以跟朱熹免费学到300级，慕容的书生可以学到500，但是比较贵。再高只能上侠客岛学了。250级以下能读的书有：说文解字、圣经、鬼谷神算和孟子。
mahayana,大乘涅磐功(mahayana)是峨眉尼姑的佛法，除了向师傅学习外，还可以读大乘涅磐经到101级，到一定等级后可以通过在云台静坐（jinzuo）来涨。
matador,matador中文名叫疯牛涕淌，明白了没？明白了还不快闪，小心牛鼻涕蹭你一身!
mm,在北侠找mm？你说你都二到啥地步了！
mml,mml是闻名海内外的自虐狂，关于自虐的任何疑问都可以咨询他。
picewolf,picewolf是虫二的首席模特，大轮寺那儿卖得春宫图都是picewolf的得意作品。
pig,pig是个讲义气的好淫，经常发丸子。
poison,基本毒技(poison)是星宿的功夫，除了向师傅学习，可以读星宿毒经〖上册〗涨到100级。
pray,人品是北侠衡量一个人成败的重要指标，大多数人的人品值都介于老秃和虫二之间，如果很久打不出来高级装备，可以试试去武庙pray，但是不保证一定涨人品，也可能更低。
QQ群,欢迎加入北大侠客行QQ群：43515624  QQ二群：1029195  QQ三群：78028230
reboot,北侠wiz经常用服务器看高清小电影导致系统花屏崩溃，请大家理解：老秃主演的小电影还是很有“看点”的。
sbear,小熊？这家伙小的时候就是一副熊样，大了还是一副熊样，反正我没见过比他更衰的。
sebaben,色色是只又se又笨的zt
shediao,"射雕英雄传拿来读(read shediao 50)可以同时涨parry和force到180级，拿法请参看襄阳旅游图(ct,e,s,list)。"
special,关于特技，请参看help kungfu-special
strategy,兵法战策(strategy)是朝廷的技能，是升官、召唤大内高手等的必备之术。依次读唐太宗李卫公问对、六韬、三略、孙膑兵法、尉缭子、吴子兵法和孙子兵法七本书可以涨到200级。
sword,"基本剑法(sword)除了向师傅学习,还可以读剑法入门(0-30),华山剑谱(0-101),watch无量玉璧(0-151),study华山思过崖后洞(0-100),天龙八部(101-180)和天上掉的真武剑(50-120)."
sxh,虚虚说得很对：“sxh保卫总迟到，自己美其名曰迟来大师，实际上就是个懒秃驴。”
taoism," 武当臭道士有那么长的气血,就是因为有道学心法(taoism).除了向师傅学习外,还可以读道德经「第一章」,道德经「第二章」,道德经「第八章」,道德经「第十三章」,道德经「第十六章」,道德经「上卷」和道德经「下卷」七本书来涨到101级.在复珍观2,3层可以拿到这些经书."
thu,大龙虾？全北侠的人都喜欢大龙虾，尤其是6、7月份特价的时候。
tianyue,tianyue不是tianying，回答完毕。
titan,如果说ark有着杨振宁的身体，那titan就具备了杨振宁的精神：bt的经历，年轻的心，同时孜孜不倦的教育北侠的新人。
txwqdami,txwqdami是北侠最善良的奶妈，谁缺奶（内力）了找他就行，奶多、质优、不含三聚氰胺。
uptime,输入uptime能看到系统刷新时间，每0/15/30/45刷新npc和物品，误差最多延后1分钟
wealcomm,小宝贝曾经语重心长的告诉我：wealcomm就是北侠第一钱串子。
whuan,whuan是北侠金牌巫师，而且长得一点儿也不寒碜。
wiki,北侠wiki是一个很强大的帮助系统，希望新手能好好利用。地址：北侠论坛->北侠wiki板块
wiz,北侠的wiz是我见过的最负责和闷骚的一批。
xiaoqian,xiaoqian是倩儿的妹妹，也就是我的小姨子，她对我很有意思，但是我装作不知道，因为她比较丑。
xuantie,玄铁剑是damage 150、很耐用的单手武器，但是store过后就变damage 125了，所以不要store。现在pig在挂，要的人去武庙功德箱拿，按需取用，用完请放回。
xumz,xumz是贼婆娘小宝贝的老公，两人狼狈为奸，在pkuxkx里专干坏事。。。。
zgbl,zgbl这个玻璃是个好同志，请大家不要歧视他。
zt,这年头，连猪头都会问问题了！
阿含经,阿含经在少林藏经阁一层地上，可以读禅宗心法到101级。
鳌拜密室,鳌拜密室在鳌拜脚底下，干掉他拿到钥匙，move pi，open men。
